Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
6343,0.972,0.108,0.248,1.04,1.46,3.13,-74.366,24.306,38.612,0,241
6365,0.964,0.104,0.252,1.18,1.39,3.69,-74.479,22.753,38.612,0,301
6385,0.96,0.1,0.248,1.04,1.32,3.27,-74.441,21.962,38.443,0,344
6406,0.96,0.1,0.24,1.18,1.6,3.2,-74.851,22.622,38.415,0,376
6427,0.968,0.104,0.244,-0.07,2.16,3.2,-74.682,23.087,38.393,0,399
6448,0.96,0.1,0.24,-0.28,2.16,3.13,-74.851,22.622,38.337,0,544
6468,0.976,0.104,0.256,-0.21,1.25,3.13,-74.198,22.111,38.472,0,205
6490,0.972,0.12,0.272,-2.16,1.32,3.48,-72.999,23.808,38.472,0,253
6510,0.988,0.108,0.216,1.25,1.81,3.69,-75.364,28.97,38.472,0,260
6531,0.972,0.108,0.252,-2.09,3.34,2.78,-74.278,21.338,38.472,0,253
