Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
4471,1.028,0.096,0.064,2.23,-1.81,-6.47,-83.602,56.314,34.787,0,333
4492,1.024,0.112,0.06,5.7,-2.64,-5.57,-82.933,61.826,34.95,0,338
4513,1.032,0.128,0.06,6.26,-2.57,-5.15,-82.039,65.561,35.095,0,345
4534,1.032,0.132,0.052,8,-2.71,-6.47,-81.978,65.561,35.122,0,377
4554,1.028,0.14,0.06,6.54,-2.57,-6.96,-80.712,61.612,35.122,0,171
4576,1.032,0.148,0.056,7.44,-3.41,-7.79,-81.289,69.28,35.122,0,351
4596,1.008,0.176,0.056,10.02,-3.9,-7.3,-79.623,72.355,35.122,0,343
4617,1.008,0.18,0.024,2.64,-2.02,-5.77,-79.793,82.411,35.221,0,358
4638,1.024,0.164,0.04,7.51,-3.2,-6.05,-80.645,76.299,36.019,0,366
4659,1.016,0.172,0.052,12.1,-4.66,-5.01,-79.976,73.184,36.286,0,371
4680,1.02,0.176,0.032,11.83,-3.76,-4.52,-79.416,80.346,36.447,0,374
4701,1.028,0.196,0.04,5.57,-3.27,-4.59,-78.952,78.471,36.494,0,360
4721,1.02,0.192,0.024,9.04,-3.62,-3.9,-79.268,85.243,36.582,0,358
4743,1.02,0.204,0.02,7.03,-2.78,-3.9,-78.643,84.407,36.582,0,361
4763,1.024,0.196,0.036,7.17,-2.92,-4.73,-78.993,79.598,36.582,0,362
4784,1.02,0.196,0.016,6.96,-1.53,-3.69,-79.093,85.339,36.582,0,352
4805,1.012,0.18,0.024,10.57,-0.97,-1.88,-79.833,82.411,36.582,0,346
4826,1.016,0.196,0.008,8.7,-0.97,-0.28,-79.078,87.669,37.273,0,337
4847,1.024,0.188,0.028,8.07,-0.35,0.56,-79.748,80.14,37.447,0,335
4868,1.024,0.196,0.012,5.08,1.53,-1.18,-78.818,87.716,37.719,0,338
4888,1.008,0.2,0.008,5.63,0.28,1.81,-78.384,84.514,37.562,0,322
4910,1.024,0.192,0.024,4.17,1.11,1.39,-78.472,84.514,37.505,0,311
