Timestamp,ESP32_Data,Manual
1759045457.1553307,"-0.032,-0.004,0.908,1.530,0.974,2.922,0.000,-89.807,273.317,1754",0
1759045457.1783307,"-0.036,0.000,0.912,1.461,0.835,2.783,0.000,-89.807,273.317,794",0
1759045457.2003307,"-0.036,0.000,0.912,1.322,1.113,2.783,0.000,-89.808,273.317,3580",0
1759045457.2223303,"-0.040,0.000,0.908,1.461,1.391,2.991,0.000,-89.808,273.317,3163",0
1759045457.2443311,"-0.036,0.000,0.908,1.322,1.183,3.061,0.000,-89.808,273.317,619",0
1759045457.2663305,"-0.036,0.000,0.908,1.391,0.835,3.061,89.808,-45.000,273.317,2298",0
1759045457.2883313,"-0.032,-0.004,0.908,1.461,0.696,3.130,89.808,-45.000,273.317,4095",0
1759045457.3103328,"-0.032,-0.004,0.908,1.391,0.974,2.922,0.252,-89.808,273.317,1373",0
1759045457.3323305,"-0.036,0.004,0.908,1.322,1.391,2.852,0.252,-89.808,273.699,1086",0
1759045457.3543305,"-0.036,-0.004,0.908,1.391,1.252,2.783,89.808,-45.000,273.156,3902",0
1759045457.3763316,"-0.036,-0.004,0.908,1.391,1.322,3.130,0.000,-89.808,272.603,2684",0
1759045457.398331,"-0.032,0.000,0.908,1.322,1.113,2.991,0.000,-89.808,272.231,556",0
1759045457.4203331,"-0.032,0.000,0.908,1.461,0.696,2.991,89.808,-45.000,272.209,2813",0
1759045457.4423308,"-0.036,-0.004,0.908,1.391,0.626,3.061,89.808,-45.000,271.993,3850",0
1759045457.4643304,"-0.036,-0.008,0.904,1.809,0.765,2.922,89.809,-45.000,271.618,987",0
1759045457.4863315,"-0.036,-0.008,0.904,1.461,1.183,2.991,89.809,-45.000,272.009,1533",0
1759045457.5083356,"-0.036,-0.004,0.908,1.391,1.183,3.061,89.808,-45.000,272.024,4095",0
1759045457.5303423,"-0.036,-0.004,0.908,1.530,1.322,3.130,0.000,-89.807,271.654,2123",0
1759045457.552342,"-0.036,0.000,0.912,1.252,1.252,3.061,0.000,-89.807,272.024,633",0
1759045457.5743425,"-0.032,-0.004,0.908,1.670,1.183,3.061,89.808,-45.000,272.009,3294",0
1759045457.596343,"-0.032,-0.004,0.908,1.391,0.974,2.783,89.808,-45.000,271.254,3435",0
