Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
3271,1.028,0.212,-0.024,-1.95,9.81,4.17,-78.281,96.466,40.788,1,298
3292,1.024,0.216,-0.02,-3.13,9.53,4.24,-78.045,95.297,40.788,1,299
3312,1.012,0.204,-0.02,-2.43,9.25,3.83,-78.677,97.977,40.788,1,310
3334,1.008,0.204,-0.02,-0.35,8.07,3.41,-78.807,93.441,40.662,1,298
3354,1.012,0.208,-0.012,-0.97,8.14,2.99,-78.277,94.323,40.728,1,284
3375,1.012,0.2,-0.008,-1.04,7.93,2.64,-78.818,92.297,40.588,1,273
3396,1,0.2,-0.012,-2.09,8.28,3.76,-78.676,93.441,40.72,1,274
3417,1.012,0.208,-0.012,-1.6,7.93,4.17,-78.373,93.309,40.862,1,350
3438,1.024,0.216,0,-0.97,8.77,3.48,-78.095,90.007,40.862,1,229
3459,1.016,0.208,0,-0.49,8.56,2.16,-78.436,90.007,40.862,1,283
3479,1.012,0.192,-0.044,4.38,2.71,2.23,-78.991,102.915,40.862,1,269
3500,1.02,0.22,0.072,-1.32,5.5,1.95,-78.505,86.705,40.862,1,285
3521,1.02,0.212,-0.032,-4.38,5.98,3.34,-78.609,90.007,40.685,1,289
3542,1,0.196,0.012,2.3,2.43,3.83,-78.473,88.883,40.853,1,298
3562,1.02,0.212,0.004,1.11,3.83,2.99,-78.262,88.926,40.885,1,303
3584,1.028,0.204,0.008,1.46,5.08,1.6,-78.773,87.761,40.737,1,302
3604,1.02,0.2,0.012,0.63,4.17,2.57,-78.893,86.573,40.89,1,306
3624,1.008,0.208,0.016,-0.49,4.45,3.97,-78.313,85.608,40.89,1,326
3646,1.02,0.22,0.012,0.14,5.43,3.41,-77.817,86.884,40.89,1,319
3666,1.024,0.216,0.016,-0.35,4.1,2.57,-78.447,85.608,40.89,1,319
3688,1.024,0.196,0.02,-0.21,2.99,2.23,-78.772,84.296,40.89,1,301
3708,1.004,0.192,0.012,0,2.92,3.2,-78.467,87.761,40.84,1,303
3729,1.004,0.2,-0.016,1.88,2.92,3.62,-78.705,94.581,41.044,1,309
3750,1.012,0.2,0.048,-2.16,1.11,3.34,-78.517,76.51,40.889,1,296
3771,1.012,0.192,0.008,-1.18,0.56,3.27,-79.254,87.621,40.864,1,304
3791,1.024,0.212,0.052,-0.9,-1.39,4.38,-77.972,76.224,40.805,1,293
3813,1.012,0.224,0,-0.63,1.25,2.85,-77.525,90.007,40.855,1,306
3833,1.028,0.212,0.04,-0.77,3.27,1.67,-78.153,79.321,40.855,1,300
3854,1.028,0.204,0,-3.27,3.34,2.57,-78.867,88.861,40.855,1,303
3875,1.004,0.196,0.024,-1.53,2.16,3.06,-78.617,83.163,40.855,1,315
3896,1.004,0.192,0,-0.9,3.9,1.67,-78.041,87.885,40.904,1,327
3916,1.02,0.212,0,-4.1,3.76,1.88,-78.264,90.007,40.794,1,336
3937,0.992,0.184,0.012,-2.16,3.34,2.99,-79.476,86.275,40.754,1,332
3958,0.968,0.172,0.004,-2.09,4.38,2.92,-79.928,88.674,41.024,1,336
3979,1.012,0.2,0.016,0,3.41,3.69,-78.792,85.432,40.799,1,318
3999,0.988,0.228,0,0.14,5.43,5.08,-77.011,90.007,40.858,1,328
4021,0.96,0.168,0.016,3.2,5.15,1.39,-80.036,84.566,40.858,1,348
4041,0.98,0.168,0.012,3.27,3.69,-0.21,-78.896,86.503,40.858,1,425
4062,1.008,0.2,-0.008,1.88,3.34,0.97,-78.705,96.85,40.858,1,326
4083,0.972,0.196,-0.012,2.71,2.43,2.3,-78.411,88.813,40.858,1,406
4104,0.892,0.176,-0.08,3.34,1.74,5.91,-77.777,114.452,40.928,1,369
4124,0.928,0.164,0.052,-2.85,-4.45,8.35,-79.503,72.413,41.002,1,369
4146,0.944,0.156,0.036,-2.43,-7.72,6.68,-80.38,77.011,40.744,1,369
4166,0.916,0.168,0.024,-0.97,-12.45,5.57,-79.51,81.876,40.754,0,353
4188,0.932,0.212,0.008,2.02,-15.44,5.15,-77.182,87.845,40.652,0,356
4208,0.996,0.24,0.012,3.2,-16.97,4.1,-76.636,86.192,40.652,0,365
4229,1.012,0.236,0.008,0.14,-16.56,2.99,-77.475,88.984,40.652,0,378
4250,1,0.212,0.016,-1.04,-18.43,0.56,-78.055,83.547,40.652,0,375
4271,1.024,0.212,0.016,-3.27,-18.85,-1.81,-78.277,85.69,40.652,0,378
4292,1.052,0.224,0.008,-1.53,-18.3,-1.88,-77.978,87.961,40.331,0,367
4313,1.06,0.224,0.012,-0.97,-16.14,-0.7,-78.057,86.94,40.353,0,347
4333,1.036,0.216,-0.04,-3.97,-10.71,0.07,-78.034,100.499,40.55,0,338
4355,1.024,0.212,0.004,-4.31,-8.83,-0.42,-78.307,88.926,40.33,0,329
4375,1.06,0.2,-0.016,2.71,-11.97,-1.11,-79.056,88.926,40.401,0,324
4397,1.1,0.244,-0.04,-4.17,-9.88,-1.04,-76.549,107.046,40.401,0,331
4417,1.044,0.26,-0.068,-8.07,-7.3,2.09,-75.498,106.543,40.401,0,338
